KEY,en-US,fr-FR,WorkaroundLocalization - NE PAS SUPPRIMER CE TEXTE
AN_ARENA_LORE,"A Arena é um pequeno edifício. É cercada por assentos em níveis e é o local para espetáculos de gladiadores e caçadas de animais selvagens. Arenas maiores podem ser usadas para batalhas navais, mas esta não é uma delas.","L'Arena est un petit édifice. Elle est entourée de gradins étagés et donne lieu à des spectacles de gladiateurs et de chasses aux fauves. Les plus grandes pourraient permettre de voir des batailles navales, mais ce n'est pas le cas de celle-ci.",
AN_ARENA_NAME,Arena,Arena,
AN_ATRIUM_VESTAE_LORE,"O Atrium Vestae é um lugar de descanso para as sacerdotisas sagradas. Uma combinação de religião e criatividade, seus habitantes ficarão aliviados por viver perto deste importante monumento.","L'Atrium Vestae est un lieu de repos pour les prêtresses sacrées. Édifice mêlant religion et créativité, vos habitants seront soulagés d'habiter proche de ce monument important.",
AN_ATRIUM_VESTAE_NAME,Atrium Vestae,Atrium Vestae,
AN_CASTRA_LORE,"Uma praça fortificada onde vivem os soldados, o Castrum garante a segurança da cidade contra ameaças militares externas.","Place fortifiée où vivent les soldats, la Castrum est garante de la sécurité de la ville face aux menaces militaires extérieures.",
AN_CASTRA_NAME,Castrum,Castrum,
AN_CERAMIC_LORE,"Em algumas regiões, a qualidade artística é tão impressionante que suas cerâmicas são renomadas mundialmente. Principalmente vasos e ânforas, elas também incluem jarras, crateras, loutroforos e aríbalos.","Dans certaines régions, la qualité artistique est si impressionnante que les céramiques font la renommée de la ville dans le monde entier. Principalement des vases et amphores, on retrouve également des cruches, cratères, loutrophores et aryballes.",
AN_CERAMIC_NAME,Ateliê de Cerâmica,Atelier de Céramiques,
AN_CRYPTIE_LORE,"O Centro de Agogé é uma educação espartana rigorosa, onde os jovens cidadãos são treinados desde a infância em várias habilidades, como disciplina, artes marciais, além de canto e retórica. Separados de suas famílias e levados à competição extrema, a violência é encorajada.","Le Centre d'Agogé est une éducation spartiate rigoureuse, où les jeunes citoyens sont formés dès leur enfance à diverses compétences comme la discipline, les arts martiaux, mais aussi le chant et la rhétorique. Séparés de leur famille et poussés à une compétition extrême, la violence y est encouragée.",
AN_CRYPTIE_NAME,Centro de Agogé,Centre d'Agogé,
AN_DOMUS_LORE,"As Domus são habitações luxuosas, reservadas para as elites ricas da cidade. Especificamente construídas para abrigar uma família inteira, elas são um reflexo da opulência da sua cidade.","Les Domus sont des habitations luxueuses, réservées aux classes aisées de la ville. Spécifiquement construites pour abriter une famille entière, elles sont le reflet de la luxuriance de votre ville.",
AN_DOMUS_NAME,Domus,Domus,
AN_EMPORIUM_LORE,A proximidade deste posto comercial com os rios proporciona contato com todo o mundo conhecido. É indispensável para cidades que desejam impactar a geopolítica mundial e transmitir sua cultura.,Ce comptoir commercial proche des rivières permet d'avoir un contact avec l'entièreté du monde connu. Indispensable pour les villes voulant avoir un impact sur la géopolitique mondiale et la transmission de sa culture.,
AN_EMPORIUM_NAME,Emporium,Emporium,
AN_FORUM_LORE,"O Fórum é uma praça pública onde os cidadãos se reúnem para tratar de questões comerciais, políticas, econômicas, judiciais ou religiosas.","Le Forum est une place publique réunissant des citoyens pour traiter d'affaires commerciales, politiques, économiques, judiciaires ou encore religieuses.",
AN_FORUM_NAME,Forum,Forum,
AN_HERGASTERION_LORE,"O Ergasterion é o movimentado centro econômico, não apenas do seu distrito, mas de toda a cidade. Muitos cidadãos vêm aqui para praticar seus ofícios e também vender os frutos de seu trabalho.",L'Ergasterion est au centre de l'activité économique du quartier et de la ville. Beaucoup de citoyens peuvent venir s'exercer à l'artisanat et y vendre le fruit de leur labeur par la même occasion.,
AN_HERGASTERION_NAME,Ergasterion,Ergasterion,
AN_HORREUM_LORE,"O Horreum é um grande armazém de grande importância para a gestão e sobrevivência da cidade. Ele contém principalmente alimentos e materiais de construção, que são classificados, organizados e protegidos do mau tempo.","L'Horreum est une grande réserve très importante pour la gestion et la survie de la ville. Il contient principalement des vivres et des matériaux de construction qui sont triés, organisés et protégés des éléments.",
AN_HORREUM_NAME,Horreum,Horreum,
AN_HORREUM_TITLE,Horreum,Horreum,
AN_KHRUSOKHOEION_LORE,"O Khrusokhoeion é um pequeno ateliê especializado em ourivesaria. Os habitantes locais frequentam este local para adquirir joias, pedras preciosas, pérolas, além de diversos objetos do dia a dia, todos de excelente qualidade.","Le Khrusokhoeion est un petit atelier spécialisé dans l'orfèvrerie. Les habitants proches de ce lieu peuvent venir y acheter des bijoux, pierres précieuses et perles, mais aussi différents objets de la vie quotidienne, tous d'excellente qualité.",
AN_KHRUSOKHOEION_NAME,Khrusokhoeion,Khrusokhoeion,
AN_LUDUS_MAGNUS_LORE,"O Ludus Magnus é uma escola especializada na formação de novos gladiadores, com forte ênfase nas leis e regras. Alguns ex-alunos são adorados pelo povo, que é muito apreciador desse tipo de combate.","Le Ludus Magnus est une école spécialisée dans la formation de nouveaux gladiateurs, où les lois et règles sont mises à l'honneur. Certains anciens élèves sont adulés par le peuple, très friand de ce genre de combats.",
AN_LUDUS_MAGNUS_NAME,Ludus Magnus,Ludus Magnus,
AN_MACELLUM_LORE,"O Macellum é um grande mercado e o coração pulsante do comércio da cidade. Seus locais são limitados, mas desempenham um papel importante na vida das pessoas como fonte de alimentos e produtos exóticos.","Le Macellum est un grand marché, centre commercial d'une ville. Ses emplacements sont limités, mais ils jouent un rôle important dans la vie des citoyens car c'est là où l'on peut se fournir en nourriture et produits exotiques.",
AN_MACELLUM_NAME,Macellum,Macellum,
AN_MYSTERIUM_LORE,O Mysterium é um santuário secreto dedicado a uma divindade revelada apenas a iniciados escolhidos e ocultada dos forasteiros. Os detalhes das várias cerimônias devem permanecer em segredo.,"Le Mysterium est un bâtiment de culte servant une divinité destinée à n'être connue que par les initiés sélectionnés, cachée aux citoyens extérieurs. Le contenu des différentes processions doit rester secret.",
AN_MYSTERIUM_NAME,Mysterium,Mysterium,
AN_NECROPOLIS_LORE,"A Necropolis é um espaço funerário repleto de antigas tumbas. Ela permite que seus cidadãos lamentem seus mortos nos arredores das cidades, evitando a propagação de doenças nos distritos.",La Necropolis est un espace funéraire composé de sépultures antiques. Elle permet à vos citoyens de pleurer leurs morts en périphérie des villes tout en évitant la propagation de maladies dans les quartiers.,
AN_NECROPOLIS_NAME,Necropolis,Necropolis,
AN_OFFICINA_PECUNIARIA_LORE,"A Oficina Pecuniaria é uma casa da moeda onde várias moedas, feitas de ouro, prata, cobre, estanho ou bronze, são produzidas. Essas moedas desempenham um papel crucial na construção da base da economia da cidade.","L'Officina Pecuniaria est un atelier monétaire dans lequel sont fabriquées les pièces de monnaie. En or, argent, cuivre, étain ou encore bronze, ces pièces servent à établir la base de l'économie des cités",
AN_OFFICINA_PECUNIARIA_NAME,Oficina Pecuniaria,Officina Pecuniaria,
AN_PRAESIDIUM_LORE,"O Praesidium é uma guarnição de guardas em patrulha, que mantém suprimentos e materiais úteis em batalhas.","Le Praesidium est une garnison de gardes en patrouille, qui contient plusieurs vivres et matériaux utiles en cas de batailles.",
AN_PRAESIDIUM_NAME,Praesidium,Praesidium,
AN_SANIARIUM_LORE,"O Aesculapium é um lugar onde charlatães e salvadores às vezes se misturam. Sob o olhar benevolente dos deuses, os pacientes mais sortudos são curados.","L'Aesculapium est un lieu où se mêlent parfois des charlatans, et parfois des sauveurs. Sous le regard bienveillant des dieux, les patients les plus chanceux guérissent.",
AN_SANIARIUM_NAME,Aesculapium,Aesculapium,
AN_SCHOLA_LORE,"A Schola é um estabelecimento educacional que busca estudar e compreender a humanidade e o conceito de liberdade. Em vez de ser uma obrigação social, participar de debates filosóficos é visto como uma atividade de lazer.","La Schola est un établissement éducatif qui cherche à étudier et comprendre l'homme et ses libertés. Plutôt que d'être une obligation de société, être acteur des débats philosophiques est perçu comme un loisir.",
AN_SCHOLA_NAME,Schola,Schola,
AN_SENATUS_LORE,"O Senatus é a mais antiga instituição política da Antiguidade, onde representantes eleitos pelo povo se reúnem para votar as regras da sociedade. Ao construí-lo, você terá acesso à política da sua cidade e poderá aprovar decretos.","Le Senatus est la plus ancienne institution politique de l'Antiquité où se réunissent les représentants élus par le peuple, et qui votent pour les règles de la vie en société. En le construisant vous aurez la possibilité d'accéder à la politique de votre ville et de faire passer des décrets.",
AN_SENATUS_NAME,Senatus,Senatus,
AN_STATIONES_LORE,O objetivo da Statio é manter a ordem dentro das muralhas da cidade por meio de patrulhas diurnas e noturnas. Os moradores estarão mais seguros por isso.,La Statio a pour but de maintenir l'ordre dans l'enceinte de la ville grâce à des patrouilles de vigiles diurnes et nocturnes. Les habitants ne s'en sortiront que plus en sécurité.,
AN_STATIONES_NAME,Statio,Statio,
AN_TEMPLUM_LORE,"O Templum é um lugar de culto dedicado a uma divindade específica. Servir aos deuses é uma tarefa nobre e respeitada, e este edifício e seus sacerdotes ditam o ritmo da vida dos cidadãos.","Le Templum est un lieu de culte dédié à une divinité spécifique. Servir les dieux étant une noble tâche respectée, ce bâtiment et ses prêtres rythment la vie des citoyens.",
AN_TEMPLUM_NAME,Templum,Templum,
AN_THERMES_LORE,"Um lugar onde as pessoas podem se misturar e socializar, as Thermae oferecem um ambiente ideal para discussões sobre vários tópicos cruciais, incluindo política. Mais do que um simples local de recreação, elas representam um modo de vida e testemunham grandes decisões entre os cidadãos.","Établissement qui permet de mélanger les populations, les Thermae sont le lieu idéal pour échanger sur des sujets variés ou importants, tels que la politique. Plus qu'un simple loisir, c'est un mode de vie et un endroit où se prennent de grandes décisions entre les citoyens.",
AN_THERMES_NAME,Thermae,Thermae,
AN_TRIBUNAL_LORE,"A Heliaea é usada para realizar julgamentos públicos. Todos os cidadãos podem assistir, se conseguirem encontrar um lugar neste pequeno local.","L'Heliaea permet d'établir des procès publics. Tous les citoyens peuvent y assister, s'ils trouvent une place dans ce petit endroit.",
AN_TRIBUNAL_NAME,Heliaea,Heliaea,
AN_TULLIANUM_LORE,"O Tullianum é uma prisão. Homens, mulheres e escravos cumpram penas mais ou menos severas lá.","Le Tullianum est une prison. Les hommes, femmes et esclaves y purgent des peines plus ou moins sévères.",
AN_TULLIANUM_NAME,Tullianum,Tullianum,
AN_VIA_AEDIFICIUM_LORE,"Legionários se uniram aos comerciantes para construir estradas pavimentadas, que garantirão uma certa estabilidade e proporcionarão muitas outras vantagens. É o símbolo de uma cidade próspera, dinâmica e moderna.","Les légionnaires se sont alliés aux marchands pour créer des routes pavées afin d'assurer une certaine stabilité à la route, permettant de nombreux autres avantages. C'est le symbole d'une ville riche, active et moderne.",
AN_VIA_AEDIFICIUM_NAME,Via Aedificium,Via Aedificium,
BA_MINI_EVENT_CARNIVAL_DESC,A imigração na cidade aumentou em [VALUE]%.,Immigration de la ville augmentée de [VALUE]%,
BA_MINI_EVENT_CARNIVAL_TITLE,Celebrações na cidade,Ville en fête,
BA_MINI_EVENT_RIOTS_MESSAGE,A revolta em sua cidade terminará em [VALUE] ciclos.,L'émeute qui sévit dans votre ville se terminera dans [VALUE] cycles,
BA_MINI_EVENT_RIOTS_TITLE,Revoltas em andamento,Émeutes en cours,
BU_UPGRADE_ALREADY_CHOOSE_FEELINGS,Você já escolheu as <color=#4ba38a>satisfações</color> <sprite=95> concedidas por [NAME].,Vous avez déjà choisi les <color=#4ba38a>satisfactions</color> <sprite=95> données par [NAME].,
BU_UPGRADE_ALREADY_CHOOSE_FEELINGS_ATTRITION,"Os valores foram revisados para baixo, pois o edifício está em uma zona de atrito.","Les valeurs sont revues à la baisse, car le bâtiment se trouve dans une zone d'attrition",
BU_UPGRADE_NO_FEELINGS,"Você ainda não escolheu as <color=#4ba38a>satisfações</color> <sprite=95> concedidas por [NAME].
Você pode escolhê-las atualizando o edifício para [NAME2].","Vous n'avez pas encore choisi les <color=#4ba38a>satisfactions</color> <sprite=95> données par [NAME].
Vous pourrez les choisir en améliorant le bâtiment en [NAME2].",
CO_CODEX_UI_BUTTON,Ver explicações,Voir les explications,
CODEX_AGE_CONSTRUCTION_INTRO,"Quando você passa de uma era para outra, suas demolições, construções, melhorias e desenvolvimentos atuais são <b>imediatamente concluídos</b>, exceto pelas <b>Maravilhas</b>.","Lorsque vous passez d’un âge à un autre, vos démolitions, constructions, améliorations et évolutions en cours sont <b>immédiatement terminées</b>, exception faite des <b>Merveilles</b>.",
CODEX_AGE_CONSTRUCTION_TITLE,Construção em progresso,Les constructions en cours,
CODEX_AGE_CULTURALINFLUENCE_00,"Existem alguns bônus muito específicos:
<sprite=18> Cada era desbloqueia um <b>passivo para a construção de Maravilhas</b> para facilitar sua construção: desbloqueio simplificado, construção mais rápida, etc...
<sprite=18> Alguns níveis também concedem <color=#efd662>moedas de ouro</color> <sprite=80> ou planos de construção decorativos.","Il existe des bonus très spécifiques :
<sprite=18> Chaque âge débloque un <b>passif pour la construction des Merveilles</b> afin de faciliter leur construction : déblocage simplifié, construction plus rapide, etc... 
<sprite=18> Certains paliers donnent également des <color=#efd662>pièces d'or</color> <sprite=80> ou des plans de bâtiments décoratifs",
CODEX_AGE_CULTURALINFLUENCE_01,"Aqui estão todas as ações que influenciam o Esplendor Cultural <sprite=86>:
<sprite=18> Desbloquear um edifício ou nível no <color=#e4cd9b>Árvore de Edifícios</color> <sprite=26> = 15 pontos
<sprite=18> Construir um edifício de serviço = 100 pontos
<sprite=18> Construir um edifício cultural = 20 pontos
<sprite=18> Construir uma Maravilha = 250 pontos
<sprite=18> Evoluir um edifício cultural = 25 pontos
<sprite=18> Melhorar o centro da cidade = 50 pontos
<sprite=18> Ter 1 <color=#ce7bba>decreto</color> <sprite=21> ativo 1 ciclo <sprite=42> = 1 ponto
<sprite=18> Aceitar uma <color=#e4cd9b>facção</color> <sprite=22> = 25 pontos
<sprite=18> Ter uma <color=#e4cd9b>facção</color> <sprite=22> em <color=#B7644C>tensão</color> <sprite=46> = 0,1 ponto
<sprite=18> Descobrir uma ruína = 20 pontos
<sprite=18> Investir 1 ponto de cultura = 1 ponto","Voici toutes les actions qui influenceront le Rayonnement Culturel <sprite=86> :
<sprite=18> Débloquer un bâtiment ou un niveau dans l'<color=#e4cd9b>Arbre des bâtiments</color> <sprite=26> = 15 points
<sprite=18> Construire un bâtiment de service = 100 points
<sprite=18> Construire un bâtiment culturel = 20 points
<sprite=18> Construire une Merveille = 250 points
<sprite=18> Évoluer un bâtiment culturel = 25 points
<sprite=18> Améliorer le centre-ville = 50 points
<sprite=18> Avoir 1 <color=#ce7bba>décret</color> <sprite=21> actif 1 cycle <sprite=42> = 1 point
<sprite=18> Accepter une <color=#e4cd9b>faction</color> <sprite=22> = 25 points
<sprite=18> Avoir une <color=#e4cd9b>faction</color> <sprite=22> en <color=#B7644C>tension</color> <sprite=46> = 0,1 point
<sprite=18> Découvrir une ruine = 20 points
<sprite=18> Investir 1 point de culture = 1 point",
CODEX_AGE_CULTURALINFLUENCE_INTRO,"O Esplendor Cultural <sprite=86> mapeia como os líderes mundiais <b>percebem seu valor</b>. Dependendo das várias ações realizadas durante o jogo, o <b>esplendor cultural pode aumentar</b>, desbloqueando <b>benefícios exclusivos</b>. Quanto mais níveis você alcançar em cada era, maiores serão os benefícios.","Le Rayonnement Culturel <sprite=86> schématise la façon dont les dirigeants du monde <b>perçoivent votre valeur</b>. En fonction des différentes actions réalisées au cours de la partie, les <b>jauges du rayonnement peuvent augmenter</b>, débloquant des <b>bonus exclusifs</b>.
Plus vous passerez de paliers chaque âge, plus les bonus seront importants.",
CODEX_AGE_CULTURALINFLUENCE_TITLE,Esplendor Cultural,Le Rayonnement Culturel,
CODEX_AGE_CYCLES_00,"Cada era possui um <b>número limite</b> de ciclos <sprite=42> que, uma vez atingido, força a transição da era atual para a próxima. Se você cumprir todos os <b>objetivos da era</b>, pode <b>escolher manualmente</b> passar para a próxima era: os ciclos <sprite=42> que você economizou serão então <b>transferidos</b> e adicionados ao limite de ciclos <sprite=42> da próxima era.","Chaque âge possède un <b>nombre limite</b> de cycles <sprite=42> qui, une fois atteint, force le passage de l’âge en cours à l’âge suivant.
Si vous remplissez tous les <b>objectifs d’âge</b>, vous pouvez <b>choisir manuellement</b> de passer à l’âge suivant : les cycles <sprite=42> que vous aurez économisés seront alors <b>reportés</b> et ajouté à la limite de cycles <sprite=42> de l’âge suivant.",
CODEX_AGE_CYCLES_INTRO,O jogo é dividido em ciclos <sprite=42> que passam ao longo do tempo: um ciclo dura 4 segundos.,Le jeu se découpe en cycles <sprite=42> qui passent au fil du temps : un cycle dure 4 secondes.,
CODEX_AGE_CYCLES_TITLE,O limite de ciclos,La limite des cycles,
CODEX_BUILD_ATTRACTION_00,"É mais provável que os residentes venham e construam suas casas em locais que possui uma <color=#10df8a> atração </color> <sprite=28> mais forte e positiva. Para orientar o desenvolvimento da sua cidade, certifique-se de criar <color=#10df8a>áreas atraentes</color> <sprite=28>. A atração do local é visível <b>a partir dos filtros</b> ou na <b>colocação de edifícios</b>.","Plus l’<color=#10df8a>attraction</color> <sprite=28> est forte et positive à un endroit donné, plus les habitants sont susceptibles de venir construire leur maison ici. Pour orienter le développement de votre ville, veillez à créer des zones <color=#10df8a>attractives</color> <sprite=28>.
L'attraction des emplacements est visible <b>depuis les filtres</b> ou à la <b>pose de bâtiments</b>.",
CODEX_BUILD_ATTRACTION_INTRO,"Todos os edifícios produzem <color=#10df8a>atração</color> <sprite=28> positiva ou negativa: 
<sprite=18> Centros urbanos 
<sprite=18> Muralhas 
<sprite=18> Edifícios de produção 
<sprite=18> Edifícios culturais
<sprite=18> Edifícios locais 
<sprite=18> Edifícios de serviços
<sprite=18> Maravilhas","Tous les bâtiments produisent de l'<color=#10df8a>attraction</color> <sprite=28> positive ou négative :
<sprite=18> Les centres-villes
<sprite=18> Les remparts
<sprite=18> Les bâtiments de production
<sprite=18> Les bâtiments culturels
<sprite=18> Les bâtiments de proximité
<sprite=18> Les bâtiments de service
<sprite=18> Les Merveilles",
CODEX_BUILD_ATTRACTION_TITLE,A Atração,L'attraction,
CODEX_BUILD_ATTRITION_ZONE_00,"Quanto mais um edifício estiver localizado na zona de atrito em relação ao seu gerador, mais ele <b>herdará penalidades</b> que retardam seu desenvolvimento: 
<sprite=18> Diminuição do ganho de <color=#4ba38a>satisfações</color> <sprite=95> 
<sprite=18> Penalidade na produção de recursos (<sprite=0>, <sprite=1>, <sprite=2>, <sprite=3>, <sprite=4>, <sprite=5>, <sprite=6>, <sprite=7>, <sprite=8>, <sprite=9>, <sprite=10>, <sprite=11>, <sprite=12>, <sprite=13>) 
<sprite=18> Penalidade no tempo de construção, evolução e melhoria 
<sprite=18> Penalidade no ganho de <color=#10df8a>atração</color> <sprite=28>","Plus un bâtiment se trouve loin dans la zone d’attrition par rapport à son générateur, plus il <b>héritera de malus</b> freinant son développement :
<sprite=18> Baisse du gain de <color=#4ba38a>satisfactions</color> <sprite=95>
<sprite=18> Pénalité de production de ressources (<sprite=0>, <sprite=1>, <sprite=2>, <sprite=3>, <sprite=4>, <sprite=5>, <sprite=6>, <sprite=7>, <sprite=8>, <sprite=9>, <sprite=10>, <sprite=11>, <sprite=12>, <sprite=13>)
<sprite=18> Pénalité sur le temps de construction, d'évolution et d'amélioration
<sprite=18> Pénalité sur le gain d'<color=#10df8a>attraction</color> <sprite=28>",
CODEX_BUILD_ATTRITION_ZONE_01,"Existem certos elementos que permitem <b>reduzir esses efeitos</b>, que podem ser: 
<sprite=18> Um destino 
<sprite=18> Um <color=#03c2ec>conhecimento</color> <sprite=25> 
<sprite=18> Um edifício de proximidade...","Il existe certains éléments qui permettent d'<b>amoindrir ces effets</b>, qui peuvent être :
<sprite=18> Une destinée
<sprite=18> Un <color=#03c2ec>savoir-faire</color> <sprite=25>
<sprite=18> Un bâtiment de proximité...",
CODEX_BUILD_ATTRITION_ZONE_INTRO,"A partir da Idade Média <sprite=31>, uma nova zona de construção ao redor da cidade chamada <b>zona de atrito</b> aparece. Ela está localizada <b>após a zona de segurança</b> e é tingida de azul.
Todos os edifícios que fornecem uma zona de segurança também fornecem uma zona de atrito:
<sprite=18> Centros urbanos
<sprite=18> Cabana dos agrimensores
<sprite=18> Maravilhas","À partir du Moyen Âge <sprite=31>, une nouvelle zone de construction autour de la ville appelée <b>zone d’attrition</b> apparaît. Elle se situe <b>après la zone de sûreté</b> et est teintée de bleu.
Tous les bâtiments fournissant une zone de sûreté fournissent une zone d'attrition :
<sprite=18> Centres-villes
<sprite=18> Cabanes d'arpenteurs
<sprite=18> Merveilles",
CODEX_BUILD_ATTRITION_ZONE_TITLE,A zona de atrito,La zone d'attrition,
CODEX_BUILD_MENU_00,"Existem diferentes ambientes que podem dificultar o desenvolvimento da cidade. Alguns edifícios até exigem certos ambientes específicos para serem construídos, por exemplo, à beira-mar.
No caso de um edifício não poder ser colocado no solo, os motivos serão explicados a você a cada vez.","Il existe différents environnements qui peuvent entraver le développement de la ville. Certains bâtiments exigent même certains environnements spécifiques pour être construits, par exemple au bord de l’eau.
Dans le cas où un bâtiment ne pourra pas être placé au sol, les raisons vous seront explicitées à chaque fois.",
CODEX_BUILD_MENU_INTRO,"O menu de construção está localizado no <b>centro inferior</b> da sua tela. Clique na aba do tipo de edifício que você deseja construir e, em seguida, no mapa do edifício desejado. Se você tiver recursos suficientes, o cursor do seu mouse se transformará em um contorno do edifício: <b>coloque o edifício no solo, onde você desejar</b>.","Le menu de construction se trouve au <b>centre en bas</b> de votre écran. Cliquez sur l’onglet du type de bâtiment que vous souhaitez construire, puis sur la carte du bâtiment souhaité. Si vous avez assez de ressources, le curseur de votre souris se transforme alors en ébauche du bâtiment : <b>placez le bâtiment au sol, à l’endroit où vous le souhaitez</b>.",
CODEX_BUILD_MENU_TITLE,O menu de construção,Le menu de construction,
CODEX_BUILD_ROADS_00,"É graças aos diferentes traçados que o jogo posiciona as muralhas <sprite=85> ou os eixos.",C'est grâce aux différents tracés que le jeu positionne les remparts <sprite=85> ou des axes.,
CODEX_BUILD_ROADS_HOUSES_00,"As habitações podem sofrer <b>danos e demolições</b>, devido a incidentes (<sprite=44>, <sprite=45>, <sprite=48>, <sprite=49>) ou eventos específicos. Elas não podem <b>ser reparadas manualmente</b>, mas outros <color=#ffffdf>cidadãos</color> <sprite=81> podem reconstruí-las e morar lá se o local for <color=#10df8a>atrativo</color> <sprite=28>.","Les habitations peuvent subir des <b>dégradations et des démolitions</b>, suite à des incidents (<sprite=44>, <sprite=45>, <sprite=48>, <sprite=49>) ou à des évènements spécifiques. Elles ne pourront <b>pas être réparées manuellement</b>, mais d'autres <color=#ffffdf>citoyens</color> <sprite=81> pourraient les reconstruire et y habiter si l'endroit est <color=#10df8a>attractif</color> <sprite=28>.",
CODEX_BUILD_ROADS_HOUSES_INTRO,"As casas acomodam um certo número de <color=#ffffdf>cidadãos</color> <sprite=81> por padrão, dependendo das <color=#9aa7ff>regras de planejamento urbano</color> <sprite=24>. Essas regras podem ser modificadas usando o <color=#9aa7ff>Escritório do Mestre de Obras</color> <sprite=24> disponível na Idade Média <sprite=31>.
Elas aparecem assim que uma <b>localização <color=#10df8a>atrativa</color> <sprite=28> estiver disponível</b>.

Um grupo de casas é chamado de distrito e pode adotar uma cultura, bem como acomodar uma <color=#e4cd9b>facção</color> <sprite=22>.","Les habitations accueillent un certain nombre de <color=#ffffdf>citoyens</color> <sprite=81> par défaut, dépendant des <color=#9aa7ff>règles d'urbanisme</color> <sprite=24>. Ces règles peuvent être modifiées grâce à l'<color=#9aa7ff>Office du Maître d'Œuvre</color> <sprite=24> disponible au Moyen Âge <sprite=31>.
Elles apparaissent dès qu'un <b>endroit <color=#10df8a>attractif</color> <sprite=28> est disponible</b>.

Un regroupement d'habitations est appelé quartier et peut adopter une culture ainsi qu'accueillir une <color=#e4cd9b>faction</color> <sprite=22>.",
CODEX_BUILD_ROADS_HOUSES_TITLE,Casas,Les habitations,
